#src dst src_tor dst_tor start_time flow_size compute_time stage_index
1568 896 46 25 6502002228 2734375000 1009615385 0
896 1888 25 56 6502002228 2734375000 1009615385 0
1888 448 56 11 6502002228 2734375000 1009615385 0
448 1568 11 46 6502002228 2734375000 1009615385 0
1569 897 46 25 6502002228 2734375000 1009615385 1
897 1889 25 56 6502002228 2734375000 1009615385 1
1889 449 56 11 6502002228 2734375000 1009615385 1
449 1569 11 46 6502002228 2734375000 1009615385 1
1570 898 46 25 6502002228 2734375000 1009615385 2
898 1890 25 56 6502002228 2734375000 1009615385 2
1890 450 56 11 6502002228 2734375000 1009615385 2
450 1570 11 46 6502002228 2734375000 1009615385 2
1571 899 46 25 6502002228 2734375000 1009615385 3
899 1891 25 56 6502002228 2734375000 1009615385 3
1891 451 56 11 6502002228 2734375000 1009615385 3
451 1571 11 46 6502002228 2734375000 1009615385 3
1572 900 46 25 6502002228 2734375000 1009615385 4
900 1892 25 56 6502002228 2734375000 1009615385 4
1892 452 56 11 6502002228 2734375000 1009615385 4
452 1572 11 46 6502002228 2734375000 1009615385 4
1573 901 46 25 6502002228 2734375000 1009615385 5
901 1893 25 56 6502002228 2734375000 1009615385 5
1893 453 56 11 6502002228 2734375000 1009615385 5
453 1573 11 46 6502002228 2734375000 1009615385 5
1574 902 46 25 6502002228 2734375000 1009615385 6
902 1894 25 56 6502002228 2734375000 1009615385 6
1894 454 56 11 6502002228 2734375000 1009615385 6
454 1574 11 46 6502002228 2734375000 1009615385 6
1575 903 46 25 6502002228 2734375000 1009615385 7
903 1895 25 56 6502002228 2734375000 1009615385 7
1895 455 56 11 6502002228 2734375000 1009615385 7
455 1575 11 46 6502002228 2734375000 1009615385 7
1576 904 46 25 6502002228 2734375000 1009615385 8
904 1896 25 56 6502002228 2734375000 1009615385 8
1896 456 56 11 6502002228 2734375000 1009615385 8
456 1576 11 46 6502002228 2734375000 1009615385 8
1577 905 46 25 6502002228 2734375000 1009615385 9
905 1897 25 56 6502002228 2734375000 1009615385 9
1897 457 56 11 6502002228 2734375000 1009615385 9
457 1577 11 46 6502002228 2734375000 1009615385 9
1578 906 46 25 6502002228 2734375000 1009615385 10
906 1898 25 56 6502002228 2734375000 1009615385 10
1898 458 56 11 6502002228 2734375000 1009615385 10
458 1578 11 46 6502002228 2734375000 1009615385 10
1579 907 46 25 6502002228 2734375000 1009615385 11
907 1899 25 56 6502002228 2734375000 1009615385 11
1899 459 56 11 6502002228 2734375000 1009615385 11
459 1579 11 46 6502002228 2734375000 1009615385 11
1580 908 46 25 6502002228 2734375000 1009615385 12
908 1900 25 56 6502002228 2734375000 1009615385 12
1900 460 56 11 6502002228 2734375000 1009615385 12
460 1580 11 46 6502002228 2734375000 1009615385 12
1581 909 46 25 6502002228 2734375000 1009615385 13
909 1901 25 56 6502002228 2734375000 1009615385 13
1901 461 56 11 6502002228 2734375000 1009615385 13
461 1581 11 46 6502002228 2734375000 1009615385 13
1582 910 46 25 6502002228 2734375000 1009615385 14
910 1902 25 56 6502002228 2734375000 1009615385 14
1902 462 56 11 6502002228 2734375000 1009615385 14
462 1582 11 46 6502002228 2734375000 1009615385 14
1583 911 46 25 6502002228 2734375000 1009615385 15
911 1903 25 56 6502002228 2734375000 1009615385 15
1903 463 56 11 6502002228 2734375000 1009615385 15
463 1583 11 46 6502002228 2734375000 1009615385 15
1584 912 46 25 6502002228 2734375000 1009615385 16
912 1904 25 56 6502002228 2734375000 1009615385 16
1904 464 56 11 6502002228 2734375000 1009615385 16
464 1584 11 46 6502002228 2734375000 1009615385 16
1585 913 46 25 6502002228 2734375000 1009615385 17
913 1905 25 56 6502002228 2734375000 1009615385 17
1905 465 56 11 6502002228 2734375000 1009615385 17
465 1585 11 46 6502002228 2734375000 1009615385 17
1586 914 46 25 6502002228 2734375000 1009615385 18
914 1906 25 56 6502002228 2734375000 1009615385 18
1906 466 56 11 6502002228 2734375000 1009615385 18
466 1586 11 46 6502002228 2734375000 1009615385 18
1587 915 46 25 6502002228 2734375000 1009615385 19
915 1907 25 56 6502002228 2734375000 1009615385 19
1907 467 56 11 6502002228 2734375000 1009615385 19
467 1587 11 46 6502002228 2734375000 1009615385 19
1588 916 46 25 6502002228 2734375000 1009615385 20
916 1908 25 56 6502002228 2734375000 1009615385 20
1908 468 56 11 6502002228 2734375000 1009615385 20
468 1588 11 46 6502002228 2734375000 1009615385 20
1589 917 46 25 6502002228 2734375000 1009615385 21
917 1909 25 56 6502002228 2734375000 1009615385 21
1909 469 56 11 6502002228 2734375000 1009615385 21
469 1589 11 46 6502002228 2734375000 1009615385 21
1590 918 46 25 6502002228 2734375000 1009615385 22
918 1910 25 56 6502002228 2734375000 1009615385 22
1910 470 56 11 6502002228 2734375000 1009615385 22
470 1590 11 46 6502002228 2734375000 1009615385 22
1591 919 46 25 6502002228 2734375000 1009615385 23
919 1911 25 56 6502002228 2734375000 1009615385 23
1911 471 56 11 6502002228 2734375000 1009615385 23
471 1591 11 46 6502002228 2734375000 1009615385 23
1592 920 46 25 6502002228 2734375000 1009615385 24
920 1912 25 56 6502002228 2734375000 1009615385 24
1912 472 56 11 6502002228 2734375000 1009615385 24
472 1592 11 46 6502002228 2734375000 1009615385 24
1593 921 46 25 6502002228 2734375000 1009615385 25
921 1913 25 56 6502002228 2734375000 1009615385 25
1913 473 56 11 6502002228 2734375000 1009615385 25
473 1593 11 46 6502002228 2734375000 1009615385 25
1594 922 46 25 6502002228 2734375000 1009615385 26
922 1914 25 56 6502002228 2734375000 1009615385 26
1914 474 56 11 6502002228 2734375000 1009615385 26
474 1594 11 46 6502002228 2734375000 1009615385 26
1595 923 46 25 6502002228 2734375000 1009615385 27
923 1915 25 56 6502002228 2734375000 1009615385 27
1915 475 56 11 6502002228 2734375000 1009615385 27
475 1595 11 46 6502002228 2734375000 1009615385 27
1596 924 46 25 6502002228 2734375000 1009615385 28
924 1916 25 56 6502002228 2734375000 1009615385 28
1916 476 56 11 6502002228 2734375000 1009615385 28
476 1596 11 46 6502002228 2734375000 1009615385 28
1597 925 46 25 6502002228 2734375000 1009615385 29
925 1917 25 56 6502002228 2734375000 1009615385 29
1917 477 56 11 6502002228 2734375000 1009615385 29
477 1597 11 46 6502002228 2734375000 1009615385 29
1598 926 46 25 6502002228 2734375000 1009615385 30
926 1918 25 56 6502002228 2734375000 1009615385 30
1918 478 56 11 6502002228 2734375000 1009615385 30
478 1598 11 46 6502002228 2734375000 1009615385 30
1599 927 46 25 6502002228 2734375000 1009615385 31
927 1919 25 56 6502002228 2734375000 1009615385 31
1919 479 56 11 6502002228 2734375000 1009615385 31
479 1599 11 46 6502002228 2734375000 1009615385 31
1536 384 45 9 6502002228 2734375000 1009615385 32
384 1600 9 47 6502002228 2734375000 1009615385 32
1600 512 47 13 6502002228 2734375000 1009615385 32
512 1536 13 45 6502002228 2734375000 1009615385 32
1537 385 45 9 6502002228 2734375000 1009615385 33
385 1601 9 47 6502002228 2734375000 1009615385 33
1601 513 47 13 6502002228 2734375000 1009615385 33
513 1537 13 45 6502002228 2734375000 1009615385 33
1538 386 45 9 6502002228 2734375000 1009615385 34
386 1602 9 47 6502002228 2734375000 1009615385 34
1602 514 47 13 6502002228 2734375000 1009615385 34
514 1538 13 45 6502002228 2734375000 1009615385 34
1539 387 45 9 6502002228 2734375000 1009615385 35
387 1603 9 47 6502002228 2734375000 1009615385 35
1603 515 47 13 6502002228 2734375000 1009615385 35
515 1539 13 45 6502002228 2734375000 1009615385 35
1540 388 45 9 6502002228 2734375000 1009615385 36
388 1604 9 47 6502002228 2734375000 1009615385 36
1604 516 47 13 6502002228 2734375000 1009615385 36
516 1540 13 45 6502002228 2734375000 1009615385 36
1541 389 45 9 6502002228 2734375000 1009615385 37
389 1605 9 47 6502002228 2734375000 1009615385 37
1605 517 47 13 6502002228 2734375000 1009615385 37
517 1541 13 45 6502002228 2734375000 1009615385 37
1542 390 45 9 6502002228 2734375000 1009615385 38
390 1606 9 47 6502002228 2734375000 1009615385 38
1606 518 47 13 6502002228 2734375000 1009615385 38
518 1542 13 45 6502002228 2734375000 1009615385 38
1543 391 45 9 6502002228 2734375000 1009615385 39
391 1607 9 47 6502002228 2734375000 1009615385 39
1607 519 47 13 6502002228 2734375000 1009615385 39
519 1543 13 45 6502002228 2734375000 1009615385 39
1544 392 45 9 6502002228 2734375000 1009615385 40
392 1608 9 47 6502002228 2734375000 1009615385 40
1608 520 47 13 6502002228 2734375000 1009615385 40
520 1544 13 45 6502002228 2734375000 1009615385 40
1545 393 45 9 6502002228 2734375000 1009615385 41
393 1609 9 47 6502002228 2734375000 1009615385 41
1609 521 47 13 6502002228 2734375000 1009615385 41
521 1545 13 45 6502002228 2734375000 1009615385 41
1546 394 45 9 6502002228 2734375000 1009615385 42
394 1610 9 47 6502002228 2734375000 1009615385 42
1610 522 47 13 6502002228 2734375000 1009615385 42
522 1546 13 45 6502002228 2734375000 1009615385 42
1547 395 45 9 6502002228 2734375000 1009615385 43
395 1611 9 47 6502002228 2734375000 1009615385 43
1611 523 47 13 6502002228 2734375000 1009615385 43
523 1547 13 45 6502002228 2734375000 1009615385 43
1548 396 45 9 6502002228 2734375000 1009615385 44
396 1612 9 47 6502002228 2734375000 1009615385 44
1612 524 47 13 6502002228 2734375000 1009615385 44
524 1548 13 45 6502002228 2734375000 1009615385 44
1549 397 45 9 6502002228 2734375000 1009615385 45
397 1613 9 47 6502002228 2734375000 1009615385 45
1613 525 47 13 6502002228 2734375000 1009615385 45
525 1549 13 45 6502002228 2734375000 1009615385 45
1550 398 45 9 6502002228 2734375000 1009615385 46
398 1614 9 47 6502002228 2734375000 1009615385 46
1614 526 47 13 6502002228 2734375000 1009615385 46
526 1550 13 45 6502002228 2734375000 1009615385 46
1551 399 45 9 6502002228 2734375000 1009615385 47
399 1615 9 47 6502002228 2734375000 1009615385 47
1615 527 47 13 6502002228 2734375000 1009615385 47
527 1551 13 45 6502002228 2734375000 1009615385 47
1552 400 45 9 6502002228 2734375000 1009615385 48
400 1616 9 47 6502002228 2734375000 1009615385 48
1616 528 47 13 6502002228 2734375000 1009615385 48
528 1552 13 45 6502002228 2734375000 1009615385 48
1553 401 45 9 6502002228 2734375000 1009615385 49
401 1617 9 47 6502002228 2734375000 1009615385 49
1617 529 47 13 6502002228 2734375000 1009615385 49
529 1553 13 45 6502002228 2734375000 1009615385 49
1554 402 45 9 6502002228 2734375000 1009615385 50
402 1618 9 47 6502002228 2734375000 1009615385 50
1618 530 47 13 6502002228 2734375000 1009615385 50
530 1554 13 45 6502002228 2734375000 1009615385 50
1555 403 45 9 6502002228 2734375000 1009615385 51
403 1619 9 47 6502002228 2734375000 1009615385 51
1619 531 47 13 6502002228 2734375000 1009615385 51
531 1555 13 45 6502002228 2734375000 1009615385 51
1556 404 45 9 6502002228 2734375000 1009615385 52
404 1620 9 47 6502002228 2734375000 1009615385 52
1620 532 47 13 6502002228 2734375000 1009615385 52
532 1556 13 45 6502002228 2734375000 1009615385 52
1557 405 45 9 6502002228 2734375000 1009615385 53
405 1621 9 47 6502002228 2734375000 1009615385 53
1621 533 47 13 6502002228 2734375000 1009615385 53
533 1557 13 45 6502002228 2734375000 1009615385 53
1558 406 45 9 6502002228 2734375000 1009615385 54
406 1622 9 47 6502002228 2734375000 1009615385 54
1622 534 47 13 6502002228 2734375000 1009615385 54
534 1558 13 45 6502002228 2734375000 1009615385 54
1559 407 45 9 6502002228 2734375000 1009615385 55
