#src dst src_tor dst_tor start_time flow_size compute_time stage_index
896 2032 25 60 10452100228 7333333334 1238769231 0
2032 896 60 25 10452100228 7333333334 1238769231 0
897 2033 25 60 10452100228 7333333334 1238769231 1
2033 897 60 25 10452100228 7333333334 1238769231 1
898 2034 25 60 10452100228 7333333334 1238769231 2
2034 898 60 25 10452100228 7333333334 1238769231 2
899 2035 25 60 10452100228 7333333334 1238769231 3
2035 899 60 25 10452100228 7333333334 1238769231 3
900 2036 25 60 10452100228 7333333334 1238769231 4
2036 900 60 25 10452100228 7333333334 1238769231 4
901 2037 25 60 10452100228 7333333334 1238769231 5
2037 901 60 25 10452100228 7333333334 1238769231 5
902 2038 25 60 10452100228 7333333334 1238769231 6
2038 902 60 25 10452100228 7333333334 1238769231 6
903 2039 25 60 10452100228 7333333334 1238769231 7
2039 903 60 25 10452100228 7333333334 1238769231 7
904 2040 25 60 10452100228 7333333334 1238769231 8
2040 904 60 25 10452100228 7333333334 1238769231 8
905 2041 25 60 10452100228 7333333334 1238769231 9
2041 905 60 25 10452100228 7333333334 1238769231 9
906 2042 25 60 10452100228 7333333334 1238769231 10
2042 906 60 25 10452100228 7333333334 1238769231 10
907 2043 25 60 10452100228 7333333334 1238769231 11
2043 907 60 25 10452100228 7333333334 1238769231 11
908 2044 25 60 10452100228 7333333334 1238769231 12
2044 908 60 25 10452100228 7333333334 1238769231 12
909 2045 25 60 10452100228 7333333334 1238769231 13
2045 909 60 25 10452100228 7333333334 1238769231 13
910 2046 25 60 10452100228 7333333334 1238769231 14
2046 910 60 25 10452100228 7333333334 1238769231 14
911 2047 25 60 10452100228 7333333334 1238769231 15
2047 911 60 25 10452100228 7333333334 1238769231 15
912 1696 25 50 10452100228 7333333334 1238769231 16
1696 912 50 25 10452100228 7333333334 1238769231 16
913 1697 25 50 10452100228 7333333334 1238769231 17
1697 913 50 25 10452100228 7333333334 1238769231 17
914 1698 25 50 10452100228 7333333334 1238769231 18
1698 914 50 25 10452100228 7333333334 1238769231 18
915 1699 25 50 10452100228 7333333334 1238769231 19
1699 915 50 25 10452100228 7333333334 1238769231 19
916 1700 25 50 10452100228 7333333334 1238769231 20
1700 916 50 25 10452100228 7333333334 1238769231 20
917 1701 25 50 10452100228 7333333334 1238769231 21
1701 917 50 25 10452100228 7333333334 1238769231 21
918 1702 25 50 10452100228 7333333334 1238769231 22
1702 918 50 25 10452100228 7333333334 1238769231 22
919 1703 25 50 10452100228 7333333334 1238769231 23
1703 919 50 25 10452100228 7333333334 1238769231 23
920 1704 25 50 10452100228 7333333334 1238769231 24
1704 920 50 25 10452100228 7333333334 1238769231 24
921 1705 25 50 10452100228 7333333334 1238769231 25
1705 921 50 25 10452100228 7333333334 1238769231 25
922 1706 25 50 10452100228 7333333334 1238769231 26
1706 922 50 25 10452100228 7333333334 1238769231 26
923 1707 25 50 10452100228 7333333334 1238769231 27
1707 923 50 25 10452100228 7333333334 1238769231 27
924 1708 25 50 10452100228 7333333334 1238769231 28
1708 924 50 25 10452100228 7333333334 1238769231 28
925 1709 25 50 10452100228 7333333334 1238769231 29
1709 925 50 25 10452100228 7333333334 1238769231 29
926 1710 25 50 10452100228 7333333334 1238769231 30
1710 926 50 25 10452100228 7333333334 1238769231 30
927 1711 25 50 10452100228 7333333334 1238769231 31
1711 927 50 25 10452100228 7333333334 1238769231 31
384 1712 9 50 10452100228 7333333334 1238769231 32
1712 384 50 9 10452100228 7333333334 1238769231 32
385 1713 9 50 10452100228 7333333334 1238769231 33
1713 385 50 9 10452100228 7333333334 1238769231 33
386 1714 9 50 10452100228 7333333334 1238769231 34
1714 386 50 9 10452100228 7333333334 1238769231 34
387 1715 9 50 10452100228 7333333334 1238769231 35
1715 387 50 9 10452100228 7333333334 1238769231 35
388 1716 9 50 10452100228 7333333334 1238769231 36
1716 388 50 9 10452100228 7333333334 1238769231 36
389 1717 9 50 10452100228 7333333334 1238769231 37
1717 389 50 9 10452100228 7333333334 1238769231 37
390 1718 9 50 10452100228 7333333334 1238769231 38
1718 390 50 9 10452100228 7333333334 1238769231 38
391 1719 9 50 10452100228 7333333334 1238769231 39
1719 391 50 9 10452100228 7333333334 1238769231 39
392 1720 9 50 10452100228 7333333334 1238769231 40
1720 392 50 9 10452100228 7333333334 1238769231 40
393 1721 9 50 10452100228 7333333334 1238769231 41
1721 393 50 9 10452100228 7333333334 1238769231 41
394 1722 9 50 10452100228 7333333334 1238769231 42
1722 394 50 9 10452100228 7333333334 1238769231 42
395 1723 9 50 10452100228 7333333334 1238769231 43
1723 395 50 9 10452100228 7333333334 1238769231 43
396 1724 9 50 10452100228 7333333334 1238769231 44
1724 396 50 9 10452100228 7333333334 1238769231 44
397 1725 9 50 10452100228 7333333334 1238769231 45
1725 397 50 9 10452100228 7333333334 1238769231 45
398 1726 9 50 10452100228 7333333334 1238769231 46
1726 398 50 9 10452100228 7333333334 1238769231 46
399 1727 9 50 10452100228 7333333334 1238769231 47
1727 399 50 9 10452100228 7333333334 1238769231 47
