#src dst src_tor dst_tor start_time flow_size compute_time stage_index
480 1184 12 34 10810591054 546875000 2692307693 0
1184 1152 34 33 10810591054 546875000 2692307693 0
1152 320 33 7 10810591054 546875000 2692307693 0
320 480 7 12 10810591054 546875000 2692307693 0
481 1185 12 34 10810591054 546875000 2692307693 1
1185 1153 34 33 10810591054 546875000 2692307693 1
1153 321 33 7 10810591054 546875000 2692307693 1
321 481 7 12 10810591054 546875000 2692307693 1
482 1186 12 34 10810591054 546875000 2692307693 2
1186 1154 34 33 10810591054 546875000 2692307693 2
1154 322 33 7 10810591054 546875000 2692307693 2
322 482 7 12 10810591054 546875000 2692307693 2
483 1187 12 34 10810591054 546875000 2692307693 3
1187 1155 34 33 10810591054 546875000 2692307693 3
1155 323 33 7 10810591054 546875000 2692307693 3
323 483 7 12 10810591054 546875000 2692307693 3
484 1188 12 34 10810591054 546875000 2692307693 4
1188 1156 34 33 10810591054 546875000 2692307693 4
1156 324 33 7 10810591054 546875000 2692307693 4
324 484 7 12 10810591054 546875000 2692307693 4
485 1189 12 34 10810591054 546875000 2692307693 5
1189 1157 34 33 10810591054 546875000 2692307693 5
1157 325 33 7 10810591054 546875000 2692307693 5
325 485 7 12 10810591054 546875000 2692307693 5
486 1190 12 34 10810591054 546875000 2692307693 6
1190 1158 34 33 10810591054 546875000 2692307693 6
1158 326 33 7 10810591054 546875000 2692307693 6
326 486 7 12 10810591054 546875000 2692307693 6
487 1191 12 34 10810591054 546875000 2692307693 7
1191 1159 34 33 10810591054 546875000 2692307693 7
1159 327 33 7 10810591054 546875000 2692307693 7
327 487 7 12 10810591054 546875000 2692307693 7
488 1192 12 34 10810591054 546875000 2692307693 8
1192 1160 34 33 10810591054 546875000 2692307693 8
1160 328 33 7 10810591054 546875000 2692307693 8
328 488 7 12 10810591054 546875000 2692307693 8
489 1193 12 34 10810591054 546875000 2692307693 9
1193 1161 34 33 10810591054 546875000 2692307693 9
1161 329 33 7 10810591054 546875000 2692307693 9
329 489 7 12 10810591054 546875000 2692307693 9
490 1194 12 34 10810591054 546875000 2692307693 10
1194 1162 34 33 10810591054 546875000 2692307693 10
1162 330 33 7 10810591054 546875000 2692307693 10
330 490 7 12 10810591054 546875000 2692307693 10
491 1195 12 34 10810591054 546875000 2692307693 11
1195 1163 34 33 10810591054 546875000 2692307693 11
1163 331 33 7 10810591054 546875000 2692307693 11
331 491 7 12 10810591054 546875000 2692307693 11
492 1196 12 34 10810591054 546875000 2692307693 12
1196 1164 34 33 10810591054 546875000 2692307693 12
1164 332 33 7 10810591054 546875000 2692307693 12
332 492 7 12 10810591054 546875000 2692307693 12
493 1197 12 34 10810591054 546875000 2692307693 13
1197 1165 34 33 10810591054 546875000 2692307693 13
1165 333 33 7 10810591054 546875000 2692307693 13
333 493 7 12 10810591054 546875000 2692307693 13
494 1198 12 34 10810591054 546875000 2692307693 14
1198 1166 34 33 10810591054 546875000 2692307693 14
1166 334 33 7 10810591054 546875000 2692307693 14
334 494 7 12 10810591054 546875000 2692307693 14
495 1199 12 34 10810591054 546875000 2692307693 15
1199 1167 34 33 10810591054 546875000 2692307693 15
1167 335 33 7 10810591054 546875000 2692307693 15
335 495 7 12 10810591054 546875000 2692307693 15
496 1200 12 34 10810591054 546875000 2692307693 16
1200 1168 34 33 10810591054 546875000 2692307693 16
1168 336 33 7 10810591054 546875000 2692307693 16
336 496 7 12 10810591054 546875000 2692307693 16
497 1201 12 34 10810591054 546875000 2692307693 17
1201 1169 34 33 10810591054 546875000 2692307693 17
1169 337 33 7 10810591054 546875000 2692307693 17
337 497 7 12 10810591054 546875000 2692307693 17
498 1202 12 34 10810591054 546875000 2692307693 18
1202 1170 34 33 10810591054 546875000 2692307693 18
1170 338 33 7 10810591054 546875000 2692307693 18
338 498 7 12 10810591054 546875000 2692307693 18
499 1203 12 34 10810591054 546875000 2692307693 19
1203 1171 34 33 10810591054 546875000 2692307693 19
1171 339 33 7 10810591054 546875000 2692307693 19
339 499 7 12 10810591054 546875000 2692307693 19
500 1204 12 34 10810591054 546875000 2692307693 20
1204 1172 34 33 10810591054 546875000 2692307693 20
1172 340 33 7 10810591054 546875000 2692307693 20
340 500 7 12 10810591054 546875000 2692307693 20
501 1205 12 34 10810591054 546875000 2692307693 21
1205 1173 34 33 10810591054 546875000 2692307693 21
1173 341 33 7 10810591054 546875000 2692307693 21
341 501 7 12 10810591054 546875000 2692307693 21
502 1206 12 34 10810591054 546875000 2692307693 22
1206 1174 34 33 10810591054 546875000 2692307693 22
1174 342 33 7 10810591054 546875000 2692307693 22
342 502 7 12 10810591054 546875000 2692307693 22
503 1207 12 34 10810591054 546875000 2692307693 23
1207 1175 34 33 10810591054 546875000 2692307693 23
1175 343 33 7 10810591054 546875000 2692307693 23
343 503 7 12 10810591054 546875000 2692307693 23
504 1208 12 34 10810591054 546875000 2692307693 24
1208 1176 34 33 10810591054 546875000 2692307693 24
1176 344 33 7 10810591054 546875000 2692307693 24
344 504 7 12 10810591054 546875000 2692307693 24
505 1209 12 34 10810591054 546875000 2692307693 25
1209 1177 34 33 10810591054 546875000 2692307693 25
1177 345 33 7 10810591054 546875000 2692307693 25
345 505 7 12 10810591054 546875000 2692307693 25
506 1210 12 34 10810591054 546875000 2692307693 26
1210 1178 34 33 10810591054 546875000 2692307693 26
1178 346 33 7 10810591054 546875000 2692307693 26
346 506 7 12 10810591054 546875000 2692307693 26
507 1211 12 34 10810591054 546875000 2692307693 27
1211 1179 34 33 10810591054 546875000 2692307693 27
1179 347 33 7 10810591054 546875000 2692307693 27
347 507 7 12 10810591054 546875000 2692307693 27
508 1212 12 34 10810591054 546875000 2692307693 28
1212 1180 34 33 10810591054 546875000 2692307693 28
1180 348 33 7 10810591054 546875000 2692307693 28
348 508 7 12 10810591054 546875000 2692307693 28
509 1213 12 34 10810591054 546875000 2692307693 29
1213 1181 34 33 10810591054 546875000 2692307693 29
1181 349 33 7 10810591054 546875000 2692307693 29
349 509 7 12 10810591054 546875000 2692307693 29
510 1214 12 34 10810591054 546875000 2692307693 30
1214 1182 34 33 10810591054 546875000 2692307693 30
1182 350 33 7 10810591054 546875000 2692307693 30
350 510 7 12 10810591054 546875000 2692307693 30
511 1215 12 34 10810591054 546875000 2692307693 31
1215 1183 34 33 10810591054 546875000 2692307693 31
1183 351 33 7 10810591054 546875000 2692307693 31
351 511 7 12 10810591054 546875000 2692307693 31
1248 768 36 21 10810591054 546875000 2692307693 32
768 1376 21 40 10810591054 546875000 2692307693 32
1376 208 40 3 10810591054 546875000 2692307693 32
208 1248 3 36 10810591054 546875000 2692307693 32
1249 769 36 21 10810591054 546875000 2692307693 33
769 1377 21 40 10810591054 546875000 2692307693 33
1377 209 40 3 10810591054 546875000 2692307693 33
209 1249 3 36 10810591054 546875000 2692307693 33
1250 770 36 21 10810591054 546875000 2692307693 34
770 1378 21 40 10810591054 546875000 2692307693 34
1378 210 40 3 10810591054 546875000 2692307693 34
210 1250 3 36 10810591054 546875000 2692307693 34
1251 771 36 21 10810591054 546875000 2692307693 35
771 1379 21 40 10810591054 546875000 2692307693 35
1379 211 40 3 10810591054 546875000 2692307693 35
211 1251 3 36 10810591054 546875000 2692307693 35
1252 772 36 21 10810591054 546875000 2692307693 36
772 1380 21 40 10810591054 546875000 2692307693 36
1380 212 40 3 10810591054 546875000 2692307693 36
212 1252 3 36 10810591054 546875000 2692307693 36
1253 773 36 21 10810591054 546875000 2692307693 37
773 1381 21 40 10810591054 546875000 2692307693 37
1381 213 40 3 10810591054 546875000 2692307693 37
213 1253 3 36 10810591054 546875000 2692307693 37
1254 774 36 21 10810591054 546875000 2692307693 38
774 1382 21 40 10810591054 546875000 2692307693 38
1382 214 40 3 10810591054 546875000 2692307693 38
214 1254 3 36 10810591054 546875000 2692307693 38
1255 775 36 21 10810591054 546875000 2692307693 39
775 1383 21 40 10810591054 546875000 2692307693 39
1383 215 40 3 10810591054 546875000 2692307693 39
215 1255 3 36 10810591054 546875000 2692307693 39
1256 776 36 21 10810591054 546875000 2692307693 40
776 1384 21 40 10810591054 546875000 2692307693 40
1384 216 40 3 10810591054 546875000 2692307693 40
216 1256 3 36 10810591054 546875000 2692307693 40
1257 777 36 21 10810591054 546875000 2692307693 41
777 1385 21 40 10810591054 546875000 2692307693 41
1385 217 40 3 10810591054 546875000 2692307693 41
217 1257 3 36 10810591054 546875000 2692307693 41
1258 778 36 21 10810591054 546875000 2692307693 42
778 1386 21 40 10810591054 546875000 2692307693 42
1386 218 40 3 10810591054 546875000 2692307693 42
218 1258 3 36 10810591054 546875000 2692307693 42
1259 779 36 21 10810591054 546875000 2692307693 43
779 1387 21 40 10810591054 546875000 2692307693 43
1387 219 40 3 10810591054 546875000 2692307693 43
219 1259 3 36 10810591054 546875000 2692307693 43
1260 780 36 21 10810591054 546875000 2692307693 44
780 1388 21 40 10810591054 546875000 2692307693 44
1388 220 40 3 10810591054 546875000 2692307693 44
220 1260 3 36 10810591054 546875000 2692307693 44
1261 781 36 21 10810591054 546875000 2692307693 45
781 1389 21 40 10810591054 546875000 2692307693 45
1389 221 40 3 10810591054 546875000 2692307693 45
221 1261 3 36 10810591054 546875000 2692307693 45
1262 782 36 21 10810591054 546875000 2692307693 46
782 1390 21 40 10810591054 546875000 2692307693 46
1390 222 40 3 10810591054 546875000 2692307693 46
222 1262 3 36 10810591054 546875000 2692307693 46
1263 783 36 21 10810591054 546875000 2692307693 47
783 1391 21 40 10810591054 546875000 2692307693 47
1391 223 40 3 10810591054 546875000 2692307693 47
223 1263 3 36 10810591054 546875000 2692307693 47
1264 784 36 21 10810591054 546875000 2692307693 48
784 1392 21 40 10810591054 546875000 2692307693 48
1392 1120 40 32 10810591054 546875000 2692307693 48
1120 1264 32 36 10810591054 546875000 2692307693 48
1265 785 36 21 10810591054 546875000 2692307693 49
785 1393 21 40 10810591054 546875000 2692307693 49
1393 1121 40 32 10810591054 546875000 2692307693 49
1121 1265 32 36 10810591054 546875000 2692307693 49
1266 786 36 21 10810591054 546875000 2692307693 50
786 1394 21 40 10810591054 546875000 2692307693 50
1394 1122 40 32 10810591054 546875000 2692307693 50
1122 1266 32 36 10810591054 546875000 2692307693 50
1267 787 36 21 10810591054 546875000 2692307693 51
787 1395 21 40 10810591054 546875000 2692307693 51
1395 1123 40 32 10810591054 546875000 2692307693 51
1123 1267 32 36 10810591054 546875000 2692307693 51
1268 788 36 21 10810591054 546875000 2692307693 52
788 1396 21 40 10810591054 546875000 2692307693 52
1396 1124 40 32 10810591054 546875000 2692307693 52
1124 1268 32 36 10810591054 546875000 2692307693 52
1269 789 36 21 10810591054 546875000 2692307693 53
789 1397 21 40 10810591054 546875000 2692307693 53
1397 1125 40 32 10810591054 546875000 2692307693 53
