#src dst src_tor dst_tor start_time flow_size compute_time stage_index
288 704 6 19 6756380829 546875000 2692307693 0
704 1056 19 30 6756380829 546875000 2692307693 0
1056 1312 30 38 6756380829 546875000 2692307693 0
1312 288 38 6 6756380829 546875000 2692307693 0
289 705 6 19 6756380829 546875000 2692307693 1
705 1057 19 30 6756380829 546875000 2692307693 1
1057 1313 30 38 6756380829 546875000 2692307693 1
1313 289 38 6 6756380829 546875000 2692307693 1
290 706 6 19 6756380829 546875000 2692307693 2
706 1058 19 30 6756380829 546875000 2692307693 2
1058 1314 30 38 6756380829 546875000 2692307693 2
1314 290 38 6 6756380829 546875000 2692307693 2
291 707 6 19 6756380829 546875000 2692307693 3
707 1059 19 30 6756380829 546875000 2692307693 3
1059 1315 30 38 6756380829 546875000 2692307693 3
1315 291 38 6 6756380829 546875000 2692307693 3
292 708 6 19 6756380829 546875000 2692307693 4
708 1060 19 30 6756380829 546875000 2692307693 4
1060 1316 30 38 6756380829 546875000 2692307693 4
1316 292 38 6 6756380829 546875000 2692307693 4
293 709 6 19 6756380829 546875000 2692307693 5
709 1061 19 30 6756380829 546875000 2692307693 5
1061 1317 30 38 6756380829 546875000 2692307693 5
1317 293 38 6 6756380829 546875000 2692307693 5
294 710 6 19 6756380829 546875000 2692307693 6
710 1062 19 30 6756380829 546875000 2692307693 6
1062 1318 30 38 6756380829 546875000 2692307693 6
1318 294 38 6 6756380829 546875000 2692307693 6
295 711 6 19 6756380829 546875000 2692307693 7
711 1063 19 30 6756380829 546875000 2692307693 7
1063 1319 30 38 6756380829 546875000 2692307693 7
1319 295 38 6 6756380829 546875000 2692307693 7
296 712 6 19 6756380829 546875000 2692307693 8
712 1064 19 30 6756380829 546875000 2692307693 8
1064 1320 30 38 6756380829 546875000 2692307693 8
1320 296 38 6 6756380829 546875000 2692307693 8
297 713 6 19 6756380829 546875000 2692307693 9
713 1065 19 30 6756380829 546875000 2692307693 9
1065 1321 30 38 6756380829 546875000 2692307693 9
1321 297 38 6 6756380829 546875000 2692307693 9
298 714 6 19 6756380829 546875000 2692307693 10
714 1066 19 30 6756380829 546875000 2692307693 10
1066 1322 30 38 6756380829 546875000 2692307693 10
1322 298 38 6 6756380829 546875000 2692307693 10
299 715 6 19 6756380829 546875000 2692307693 11
715 1067 19 30 6756380829 546875000 2692307693 11
1067 1323 30 38 6756380829 546875000 2692307693 11
1323 299 38 6 6756380829 546875000 2692307693 11
300 716 6 19 6756380829 546875000 2692307693 12
716 1068 19 30 6756380829 546875000 2692307693 12
1068 1324 30 38 6756380829 546875000 2692307693 12
1324 300 38 6 6756380829 546875000 2692307693 12
301 717 6 19 6756380829 546875000 2692307693 13
717 1069 19 30 6756380829 546875000 2692307693 13
1069 1325 30 38 6756380829 546875000 2692307693 13
1325 301 38 6 6756380829 546875000 2692307693 13
302 718 6 19 6756380829 546875000 2692307693 14
718 1070 19 30 6756380829 546875000 2692307693 14
1070 1326 30 38 6756380829 546875000 2692307693 14
1326 302 38 6 6756380829 546875000 2692307693 14
303 719 6 19 6756380829 546875000 2692307693 15
719 1071 19 30 6756380829 546875000 2692307693 15
1071 1327 30 38 6756380829 546875000 2692307693 15
1327 303 38 6 6756380829 546875000 2692307693 15
