#src dst src_tor dst_tor start_time flow_size compute_time stage_index
960 1552 27 45 6502002228 1367187500 1009615385 0
1552 1216 45 35 6502002228 1367187500 1009615385 0
1216 336 35 7 6502002228 1367187500 1009615385 0
336 448 7 11 6502002228 1367187500 1009615385 0
448 1504 11 44 6502002228 1367187500 1009615385 0
1504 384 44 9 6502002228 1367187500 1009615385 0
384 1584 9 46 6502002228 1367187500 1009615385 0
1584 960 46 27 6502002228 1367187500 1009615385 0
961 1553 27 45 6502002228 1367187500 1009615385 1
1553 1217 45 35 6502002228 1367187500 1009615385 1
1217 337 35 7 6502002228 1367187500 1009615385 1
337 449 7 11 6502002228 1367187500 1009615385 1
449 1505 11 44 6502002228 1367187500 1009615385 1
1505 385 44 9 6502002228 1367187500 1009615385 1
385 1585 9 46 6502002228 1367187500 1009615385 1
1585 961 46 27 6502002228 1367187500 1009615385 1
962 1554 27 45 6502002228 1367187500 1009615385 2
1554 1218 45 35 6502002228 1367187500 1009615385 2
1218 338 35 7 6502002228 1367187500 1009615385 2
338 450 7 11 6502002228 1367187500 1009615385 2
450 1506 11 44 6502002228 1367187500 1009615385 2
1506 386 44 9 6502002228 1367187500 1009615385 2
386 1586 9 46 6502002228 1367187500 1009615385 2
1586 962 46 27 6502002228 1367187500 1009615385 2
963 1555 27 45 6502002228 1367187500 1009615385 3
1555 1219 45 35 6502002228 1367187500 1009615385 3
1219 339 35 7 6502002228 1367187500 1009615385 3
339 451 7 11 6502002228 1367187500 1009615385 3
451 1507 11 44 6502002228 1367187500 1009615385 3
1507 387 44 9 6502002228 1367187500 1009615385 3
387 1587 9 46 6502002228 1367187500 1009615385 3
1587 963 46 27 6502002228 1367187500 1009615385 3
964 1556 27 45 6502002228 1367187500 1009615385 4
1556 1220 45 35 6502002228 1367187500 1009615385 4
1220 340 35 7 6502002228 1367187500 1009615385 4
340 452 7 11 6502002228 1367187500 1009615385 4
452 1508 11 44 6502002228 1367187500 1009615385 4
1508 388 44 9 6502002228 1367187500 1009615385 4
388 1588 9 46 6502002228 1367187500 1009615385 4
1588 964 46 27 6502002228 1367187500 1009615385 4
965 1557 27 45 6502002228 1367187500 1009615385 5
1557 1221 45 35 6502002228 1367187500 1009615385 5
1221 341 35 7 6502002228 1367187500 1009615385 5
341 453 7 11 6502002228 1367187500 1009615385 5
453 1509 11 44 6502002228 1367187500 1009615385 5
1509 389 44 9 6502002228 1367187500 1009615385 5
389 1589 9 46 6502002228 1367187500 1009615385 5
1589 965 46 27 6502002228 1367187500 1009615385 5
966 1558 27 45 6502002228 1367187500 1009615385 6
1558 1222 45 35 6502002228 1367187500 1009615385 6
1222 342 35 7 6502002228 1367187500 1009615385 6
342 454 7 11 6502002228 1367187500 1009615385 6
454 1510 11 44 6502002228 1367187500 1009615385 6
1510 390 44 9 6502002228 1367187500 1009615385 6
390 1590 9 46 6502002228 1367187500 1009615385 6
1590 966 46 27 6502002228 1367187500 1009615385 6
967 1559 27 45 6502002228 1367187500 1009615385 7
1559 1223 45 35 6502002228 1367187500 1009615385 7
1223 343 35 7 6502002228 1367187500 1009615385 7
343 455 7 11 6502002228 1367187500 1009615385 7
455 1511 11 44 6502002228 1367187500 1009615385 7
1511 391 44 9 6502002228 1367187500 1009615385 7
391 1591 9 46 6502002228 1367187500 1009615385 7
1591 967 46 27 6502002228 1367187500 1009615385 7
968 1560 27 45 6502002228 1367187500 1009615385 8
1560 1224 45 35 6502002228 1367187500 1009615385 8
1224 344 35 7 6502002228 1367187500 1009615385 8
344 456 7 11 6502002228 1367187500 1009615385 8
456 1512 11 44 6502002228 1367187500 1009615385 8
1512 392 44 9 6502002228 1367187500 1009615385 8
392 1592 9 46 6502002228 1367187500 1009615385 8
1592 968 46 27 6502002228 1367187500 1009615385 8
969 1561 27 45 6502002228 1367187500 1009615385 9
1561 1225 45 35 6502002228 1367187500 1009615385 9
1225 345 35 7 6502002228 1367187500 1009615385 9
345 457 7 11 6502002228 1367187500 1009615385 9
457 1513 11 44 6502002228 1367187500 1009615385 9
1513 393 44 9 6502002228 1367187500 1009615385 9
393 1593 9 46 6502002228 1367187500 1009615385 9
1593 969 46 27 6502002228 1367187500 1009615385 9
970 1562 27 45 6502002228 1367187500 1009615385 10
1562 1226 45 35 6502002228 1367187500 1009615385 10
1226 346 35 7 6502002228 1367187500 1009615385 10
346 458 7 11 6502002228 1367187500 1009615385 10
458 1514 11 44 6502002228 1367187500 1009615385 10
1514 394 44 9 6502002228 1367187500 1009615385 10
394 1594 9 46 6502002228 1367187500 1009615385 10
1594 970 46 27 6502002228 1367187500 1009615385 10
971 1563 27 45 6502002228 1367187500 1009615385 11
1563 1227 45 35 6502002228 1367187500 1009615385 11
1227 347 35 7 6502002228 1367187500 1009615385 11
347 459 7 11 6502002228 1367187500 1009615385 11
459 1515 11 44 6502002228 1367187500 1009615385 11
1515 395 44 9 6502002228 1367187500 1009615385 11
395 1595 9 46 6502002228 1367187500 1009615385 11
1595 971 46 27 6502002228 1367187500 1009615385 11
972 1564 27 45 6502002228 1367187500 1009615385 12
1564 1228 45 35 6502002228 1367187500 1009615385 12
1228 348 35 7 6502002228 1367187500 1009615385 12
348 460 7 11 6502002228 1367187500 1009615385 12
460 1516 11 44 6502002228 1367187500 1009615385 12
1516 396 44 9 6502002228 1367187500 1009615385 12
396 1596 9 46 6502002228 1367187500 1009615385 12
1596 972 46 27 6502002228 1367187500 1009615385 12
973 1565 27 45 6502002228 1367187500 1009615385 13
1565 1229 45 35 6502002228 1367187500 1009615385 13
1229 349 35 7 6502002228 1367187500 1009615385 13
349 461 7 11 6502002228 1367187500 1009615385 13
461 1517 11 44 6502002228 1367187500 1009615385 13
1517 397 44 9 6502002228 1367187500 1009615385 13
397 1597 9 46 6502002228 1367187500 1009615385 13
1597 973 46 27 6502002228 1367187500 1009615385 13
974 1566 27 45 6502002228 1367187500 1009615385 14
1566 1230 45 35 6502002228 1367187500 1009615385 14
1230 350 35 7 6502002228 1367187500 1009615385 14
350 462 7 11 6502002228 1367187500 1009615385 14
462 1518 11 44 6502002228 1367187500 1009615385 14
1518 398 44 9 6502002228 1367187500 1009615385 14
398 1598 9 46 6502002228 1367187500 1009615385 14
1598 974 46 27 6502002228 1367187500 1009615385 14
975 1567 27 45 6502002228 1367187500 1009615385 15
1567 1231 45 35 6502002228 1367187500 1009615385 15
1231 351 35 7 6502002228 1367187500 1009615385 15
351 463 7 11 6502002228 1367187500 1009615385 15
463 1519 11 44 6502002228 1367187500 1009615385 15
1519 399 44 9 6502002228 1367187500 1009615385 15
399 1599 9 46 6502002228 1367187500 1009615385 15
1599 975 46 27 6502002228 1367187500 1009615385 15
976 1248 27 36 6502002228 1367187500 1009615385 16
1248 1232 36 35 6502002228 1367187500 1009615385 16
1232 640 35 17 6502002228 1367187500 1009615385 16
640 464 17 11 6502002228 1367187500 1009615385 16
464 1520 11 44 6502002228 1367187500 1009615385 16
1520 400 44 9 6502002228 1367187500 1009615385 16
400 416 9 10 6502002228 1367187500 1009615385 16
416 976 10 27 6502002228 1367187500 1009615385 16
977 1249 27 36 6502002228 1367187500 1009615385 17
1249 1233 36 35 6502002228 1367187500 1009615385 17
1233 641 35 17 6502002228 1367187500 1009615385 17
641 465 17 11 6502002228 1367187500 1009615385 17
465 1521 11 44 6502002228 1367187500 1009615385 17
1521 401 44 9 6502002228 1367187500 1009615385 17
401 417 9 10 6502002228 1367187500 1009615385 17
417 977 10 27 6502002228 1367187500 1009615385 17
978 1250 27 36 6502002228 1367187500 1009615385 18
1250 1234 36 35 6502002228 1367187500 1009615385 18
1234 642 35 17 6502002228 1367187500 1009615385 18
642 466 17 11 6502002228 1367187500 1009615385 18
466 1522 11 44 6502002228 1367187500 1009615385 18
1522 402 44 9 6502002228 1367187500 1009615385 18
402 418 9 10 6502002228 1367187500 1009615385 18
418 978 10 27 6502002228 1367187500 1009615385 18
979 1251 27 36 6502002228 1367187500 1009615385 19
1251 1235 36 35 6502002228 1367187500 1009615385 19
1235 643 35 17 6502002228 1367187500 1009615385 19
643 467 17 11 6502002228 1367187500 1009615385 19
467 1523 11 44 6502002228 1367187500 1009615385 19
1523 403 44 9 6502002228 1367187500 1009615385 19
403 419 9 10 6502002228 1367187500 1009615385 19
419 979 10 27 6502002228 1367187500 1009615385 19
980 1252 27 36 6502002228 1367187500 1009615385 20
1252 1236 36 35 6502002228 1367187500 1009615385 20
1236 644 35 17 6502002228 1367187500 1009615385 20
644 468 17 11 6502002228 1367187500 1009615385 20
468 1524 11 44 6502002228 1367187500 1009615385 20
1524 404 44 9 6502002228 1367187500 1009615385 20
404 420 9 10 6502002228 1367187500 1009615385 20
420 980 10 27 6502002228 1367187500 1009615385 20
981 1253 27 36 6502002228 1367187500 1009615385 21
1253 1237 36 35 6502002228 1367187500 1009615385 21
1237 645 35 17 6502002228 1367187500 1009615385 21
645 469 17 11 6502002228 1367187500 1009615385 21
469 1525 11 44 6502002228 1367187500 1009615385 21
1525 405 44 9 6502002228 1367187500 1009615385 21
405 421 9 10 6502002228 1367187500 1009615385 21
421 981 10 27 6502002228 1367187500 1009615385 21
982 1254 27 36 6502002228 1367187500 1009615385 22
1254 1238 36 35 6502002228 1367187500 1009615385 22
1238 646 35 17 6502002228 1367187500 1009615385 22
646 470 17 11 6502002228 1367187500 1009615385 22
470 1526 11 44 6502002228 1367187500 1009615385 22
1526 406 44 9 6502002228 1367187500 1009615385 22
406 422 9 10 6502002228 1367187500 1009615385 22
422 982 10 27 6502002228 1367187500 1009615385 22
983 1255 27 36 6502002228 1367187500 1009615385 23
1255 1239 36 35 6502002228 1367187500 1009615385 23
1239 647 35 17 6502002228 1367187500 1009615385 23
647 471 17 11 6502002228 1367187500 1009615385 23
471 1527 11 44 6502002228 1367187500 1009615385 23
1527 407 44 9 6502002228 1367187500 1009615385 23
407 423 9 10 6502002228 1367187500 1009615385 23
423 983 10 27 6502002228 1367187500 1009615385 23
984 1256 27 36 6502002228 1367187500 1009615385 24
1256 1240 36 35 6502002228 1367187500 1009615385 24
1240 648 35 17 6502002228 1367187500 1009615385 24
648 472 17 11 6502002228 1367187500 1009615385 24
472 1528 11 44 6502002228 1367187500 1009615385 24
1528 408 44 9 6502002228 1367187500 1009615385 24
408 424 9 10 6502002228 1367187500 1009615385 24
424 984 10 27 6502002228 1367187500 1009615385 24
985 1257 27 36 6502002228 1367187500 1009615385 25
1257 1241 36 35 6502002228 1367187500 1009615385 25
1241 649 35 17 6502002228 1367187500 1009615385 25
649 473 17 11 6502002228 1367187500 1009615385 25
473 1529 11 44 6502002228 1367187500 1009615385 25
1529 409 44 9 6502002228 1367187500 1009615385 25
409 425 9 10 6502002228 1367187500 1009615385 25
425 985 10 27 6502002228 1367187500 1009615385 25
986 1258 27 36 6502002228 1367187500 1009615385 26
1258 1242 36 35 6502002228 1367187500 1009615385 26
1242 650 35 17 6502002228 1367187500 1009615385 26
650 474 17 11 6502002228 1367187500 1009615385 26
474 1530 11 44 6502002228 1367187500 1009615385 26
1530 410 44 9 6502002228 1367187500 1009615385 26
410 426 9 10 6502002228 1367187500 1009615385 26
426 986 10 27 6502002228 1367187500 1009615385 26
987 1259 27 36 6502002228 1367187500 1009615385 27
1259 1243 36 35 6502002228 1367187500 1009615385 27
1243 651 35 17 6502002228 1367187500 1009615385 27
651 475 17 11 6502002228 1367187500 1009615385 27
475 1531 11 44 6502002228 1367187500 1009615385 27
1531 411 44 9 6502002228 1367187500 1009615385 27
411 427 9 10 6502002228 1367187500 1009615385 27
427 987 10 27 6502002228 1367187500 1009615385 27
988 1260 27 36 6502002228 1367187500 1009615385 28
1260 1244 36 35 6502002228 1367187500 1009615385 28
1244 652 35 17 6502002228 1367187500 1009615385 28
652 476 17 11 6502002228 1367187500 1009615385 28
476 1532 11 44 6502002228 1367187500 1009615385 28
1532 412 44 9 6502002228 1367187500 1009615385 28
412 428 9 10 6502002228 1367187500 1009615385 28
428 988 10 27 6502002228 1367187500 1009615385 28
989 1261 27 36 6502002228 1367187500 1009615385 29
1261 1245 36 35 6502002228 1367187500 1009615385 29
1245 653 35 17 6502002228 1367187500 1009615385 29
653 477 17 11 6502002228 1367187500 1009615385 29
477 1533 11 44 6502002228 1367187500 1009615385 29
1533 413 44 9 6502002228 1367187500 1009615385 29
413 429 9 10 6502002228 1367187500 1009615385 29
429 989 10 27 6502002228 1367187500 1009615385 29
990 1262 27 36 6502002228 1367187500 1009615385 30
1262 1246 36 35 6502002228 1367187500 1009615385 30
1246 654 35 17 6502002228 1367187500 1009615385 30
654 478 17 11 6502002228 1367187500 1009615385 30
478 1534 11 44 6502002228 1367187500 1009615385 30
1534 414 44 9 6502002228 1367187500 1009615385 30
414 430 9 10 6502002228 1367187500 1009615385 30
430 990 10 27 6502002228 1367187500 1009615385 30
991 1263 27 36 6502002228 1367187500 1009615385 31
1263 1247 36 35 6502002228 1367187500 1009615385 31
1247 655 35 17 6502002228 1367187500 1009615385 31
655 479 17 11 6502002228 1367187500 1009615385 31
479 1535 11 44 6502002228 1367187500 1009615385 31
1535 415 44 9 6502002228 1367187500 1009615385 31
415 431 9 10 6502002228 1367187500 1009615385 31
431 991 10 27 6502002228 1367187500 1009615385 31
1632 1264 48 36 6502002228 1367187500 1009615385 32
1264 480 36 12 6502002228 1367187500 1009615385 32
480 656 12 17 6502002228 1367187500 1009615385 32
656 112 17 0 6502002228 1367187500 1009615385 32
112 864 0 24 6502002228 1367187500 1009615385 32
864 2128 24 63 6502002228 1367187500 1009615385 32
2128 432 63 10 6502002228 1367187500 1009615385 32
432 1632 10 48 6502002228 1367187500 1009615385 32
1633 1265 48 36 6502002228 1367187500 1009615385 33
1265 481 36 12 6502002228 1367187500 1009615385 33
481 657 12 17 6502002228 1367187500 1009615385 33
657 113 17 0 6502002228 1367187500 1009615385 33
113 865 0 24 6502002228 1367187500 1009615385 33
865 2129 24 63 6502002228 1367187500 1009615385 33
2129 433 63 10 6502002228 1367187500 1009615385 33
433 1633 10 48 6502002228 1367187500 1009615385 33
1634 1266 48 36 6502002228 1367187500 1009615385 34
1266 482 36 12 6502002228 1367187500 1009615385 34
482 658 12 17 6502002228 1367187500 1009615385 34
658 114 17 0 6502002228 1367187500 1009615385 34
114 866 0 24 6502002228 1367187500 1009615385 34
866 2130 24 63 6502002228 1367187500 1009615385 34
2130 434 63 10 6502002228 1367187500 1009615385 34
434 1634 10 48 6502002228 1367187500 1009615385 34
1635 1267 48 36 6502002228 1367187500 1009615385 35
1267 483 36 12 6502002228 1367187500 1009615385 35
483 659 12 17 6502002228 1367187500 1009615385 35
659 115 17 0 6502002228 1367187500 1009615385 35
115 867 0 24 6502002228 1367187500 1009615385 35
867 2131 24 63 6502002228 1367187500 1009615385 35
2131 435 63 10 6502002228 1367187500 1009615385 35
