#src dst src_tor dst_tor start_time flow_size compute_time stage_index
544 256 14 5 10978710563 3666666667 1238769231 0
256 2080 5 62 10978710563 3666666667 1238769231 0
2080 1792 62 53 10978710563 3666666667 1238769231 0
1792 544 53 14 10978710563 3666666667 1238769231 0
545 257 14 5 10978710563 3666666667 1238769231 1
257 2081 5 62 10978710563 3666666667 1238769231 1
2081 1793 62 53 10978710563 3666666667 1238769231 1
1793 545 53 14 10978710563 3666666667 1238769231 1
546 258 14 5 10978710563 3666666667 1238769231 2
258 2082 5 62 10978710563 3666666667 1238769231 2
2082 1794 62 53 10978710563 3666666667 1238769231 2
1794 546 53 14 10978710563 3666666667 1238769231 2
547 259 14 5 10978710563 3666666667 1238769231 3
259 2083 5 62 10978710563 3666666667 1238769231 3
2083 1795 62 53 10978710563 3666666667 1238769231 3
1795 547 53 14 10978710563 3666666667 1238769231 3
548 260 14 5 10978710563 3666666667 1238769231 4
260 2084 5 62 10978710563 3666666667 1238769231 4
2084 1796 62 53 10978710563 3666666667 1238769231 4
1796 548 53 14 10978710563 3666666667 1238769231 4
549 261 14 5 10978710563 3666666667 1238769231 5
261 2085 5 62 10978710563 3666666667 1238769231 5
2085 1797 62 53 10978710563 3666666667 1238769231 5
1797 549 53 14 10978710563 3666666667 1238769231 5
550 262 14 5 10978710563 3666666667 1238769231 6
262 2086 5 62 10978710563 3666666667 1238769231 6
2086 1798 62 53 10978710563 3666666667 1238769231 6
1798 550 53 14 10978710563 3666666667 1238769231 6
551 263 14 5 10978710563 3666666667 1238769231 7
263 2087 5 62 10978710563 3666666667 1238769231 7
2087 1799 62 53 10978710563 3666666667 1238769231 7
1799 551 53 14 10978710563 3666666667 1238769231 7
552 264 14 5 10978710563 3666666667 1238769231 8
264 2088 5 62 10978710563 3666666667 1238769231 8
2088 1800 62 53 10978710563 3666666667 1238769231 8
1800 552 53 14 10978710563 3666666667 1238769231 8
553 265 14 5 10978710563 3666666667 1238769231 9
265 2089 5 62 10978710563 3666666667 1238769231 9
2089 1801 62 53 10978710563 3666666667 1238769231 9
1801 553 53 14 10978710563 3666666667 1238769231 9
554 266 14 5 10978710563 3666666667 1238769231 10
266 2090 5 62 10978710563 3666666667 1238769231 10
